Epic,Story,Task,Task Effort,Allocated To,Start Date,End Date,
12th,DC1 GT,12th : DC1 GT : Maths,7.0,DM Maths,14-Oct,17-Oct,
12th,Functions VMCW,12th : Functions VMCW : Maths,5.0,DM Maths,12-Oct,14-Oct,
12th,DC2 VMCW,12th : DC2 VMCW : Maths,6.0,DM Maths,22-Oct,26-Oct,
12th,Functions GT,12th : Functions GT : Maths,6.0,DM Maths,10-Oct,12-Oct,
12th,3D Geo VMCW,12th : 3D Geo VMCW : Maths,6.0,DM Maths,15-Nov,18-Nov,
12th,Vectors VMCW,12th : Vectors VMCW : Maths,6.0,DM Maths,11-Nov,14-Nov,
12th,DC1 VMCW,12th : DC1 VMCW : Maths,9.0,DM Maths,17-Oct,20-Oct,
12th,IC2 GT,12th : IC2 GT : Maths,5.0,DM Maths,29-Oct,31-Oct,
12th,IC1 VMCW,12th : IC1 VMCW : Maths,6.0,DM Maths,27-Oct,29-Oct,
12th,Differential Eq VMCW,12th : Differential Eq VMCW : Maths,4.0,DM Maths,04-Nov,05-Nov,
12th,IC1 GT,12th : IC1 GT : Maths,3.0,DM Maths,26-Oct,27-Oct,
12th,Matrices & Det VMCW,12th : Matrices & Det VMCW : Maths,6.0,DM Maths,07-Nov,09-Nov,
12th,Vectors GT,12th : Vectors GT : Maths,4.0,DM Maths,09-Nov,11-Nov,
12th,IC2 VMCW,12th : IC2 VMCW : Maths,6.0,DM Maths,31-Oct,03-Nov,
12th,3D Geo GT,12th : 3D Geo GT : Maths,3.0,DM Maths,14-Nov,15-Nov,
12th,Differential Eq GT,12th : Differential Eq GT : Maths,2.0,DM Maths,03-Nov,03-Nov,
12th,Matrices & Det GT,12th : Matrices & Det GT : Maths,4.0,DM Maths,05-Nov,07-Nov,
12th,DC2 GT,12th : DC2 GT : Maths,5.0,DM Maths,20-Oct,22-Oct,
